ID,duration,wav,wav_format,wav_opts
Noise_13,0.8,./Noise\Noise_13.wav,wav,
Noise_14,0.5,./Noise\Noise_14.wav,wav,
Noise_15,0.8,./Noise\Noise_15.wav,wav,
Noise_16,0.8,./Noise\Noise_16.wav,wav,
Noise_1,0.8,./Noise\Noise_1.wav,wav,
Noise_2,0.8,./Noise\Noise_2.wav,wav,
Noise_3,0.8,./Noise\Noise_3.wav,wav,
Noise_4,0.5,./Noise\Noise_4.wav,wav,
Noise_5,0.8,./Noise\Noise_5.wav,wav,
Noise_6,0.8,./Noise\Noise_6.wav,wav,
Noise_7,0.5,./Noise\Noise_7.wav,wav,
Noise_8,0.5,./Noise\Noise_8.wav,wav,
Noise_9,0.8,./Noise\Noise_9.wav,wav,
Noise_10,0.8,./Noise\Noise_10.wav,wav,
Noise_11,0.5,./Noise\Noise_11.wav,wav,
Noise_12,0.8,./Noise\Noise_12.wav,wav,
Noise_13,0.8,./Noise\Noise_13.wav,wav,
Noise_14,0.5,./Noise\Noise_14.wav,wav,
Noise_15,0.8,./Noise\Noise_15.wav,wav,
Noise_16,0.8,./Noise\Noise_16.wav,wav,
Noise_1,0.8,./Noise\Noise_1.wav,wav,
Noise_2,0.8,./Noise\Noise_2.wav,wav,
Noise_3,0.8,./Noise\Noise_3.wav,wav,
Noise_4,0.5,./Noise\Noise_4.wav,wav,
Noise_5,0.8,./Noise\Noise_5.wav,wav,
Noise_6,0.8,./Noise\Noise_6.wav,wav,
Noise_7,0.5,./Noise\Noise_7.wav,wav,
Noise_8,0.5,./Noise\Noise_8.wav,wav,
Noise_9,0.8,./Noise\Noise_9.wav,wav,
Noise_10,0.8,./Noise\Noise_10.wav,wav,
Noise_11,0.5,./Noise\Noise_11.wav,wav,
Noise_12,0.8,./Noise\Noise_12.wav,wav,
Noise_13,0.8,./Noise\Noise_13.wav,wav,
Noise_14,0.5,./Noise\Noise_14.wav,wav,
Noise_15,0.8,./Noise\Noise_15.wav,wav,
Noise_16,0.8,./Noise\Noise_16.wav,wav,
Noise_1,0.8,./Noise\Noise_1.wav,wav,
Noise_2,0.8,./Noise\Noise_2.wav,wav,
Noise_3,0.8,./Noise\Noise_3.wav,wav,
Noise_4,0.5,./Noise\Noise_4.wav,wav,
Noise_5,0.8,./Noise\Noise_5.wav,wav,
Noise_6,0.8,./Noise\Noise_6.wav,wav,
Noise_7,0.5,./Noise\Noise_7.wav,wav,
Noise_8,0.5,./Noise\Noise_8.wav,wav,
Noise_9,0.8,./Noise\Noise_9.wav,wav,
Noise_10,0.8,./Noise\Noise_10.wav,wav,
Noise_11,0.5,./Noise\Noise_11.wav,wav,
Noise_12,0.8,./Noise\Noise_12.wav,wav,
Noise_13,0.8,./Noise\Noise_13.wav,wav,
Noise_14,0.5,./Noise\Noise_14.wav,wav,
Noise_15,0.8,./Noise\Noise_15.wav,wav,
Noise_16,0.8,./Noise\Noise_16.wav,wav,
Noise_1,0.6,./Noise\Noise_1.wav,wav,
Noise_2,0.6,./Noise\Noise_2.wav,wav,
Noise_3,0.5,./Noise\Noise_3.wav,wav,
Noise_4,0.5,./Noise\Noise_4.wav,wav,
Noise_5,0.5,./Noise\Noise_5.wav,wav,
Noise_6,0.5,./Noise\Noise_6.wav,wav,
Noise_7,0.5,./Noise\Noise_7.wav,wav,
Noise_8,0.6,./Noise\Noise_8.wav,wav,
Noise_9,0.6,./Noise\Noise_9.wav,wav,
Noise_10,0.6,./Noise\Noise_10.wav,wav,
Noise_11,0.7,./Noise\Noise_11.wav,wav,
Noise_12,0.6,./Noise\Noise_12.wav,wav,
Noise_13,0.6,./Noise\Noise_13.wav,wav,
Noise_14,0.5,./Noise\Noise_14.wav,wav,
Noise_15,0.6,./Noise\Noise_15.wav,wav,
Noise_16,0.6,./Noise\Noise_16.wav,wav,
Noise_17,0.6,./Noise\Noise_17.wav,wav,
Noise_18,0.5,./Noise\Noise_18.wav,wav,
Noise_19,1.4,./Noise\Noise_19.wav,wav,
Noise_20,0.9,./Noise\Noise_20.wav,wav,
Noise_21,0.3,./Noise\Noise_21.wav,wav,
Noise_22,0.6,./Noise\Noise_22.wav,wav,
Noise_23,0.3,./Noise\Noise_23.wav,wav,
Noise_24,0.5,./Noise\Noise_24.wav,wav,
Noise_25,0.6,./Noise\Noise_25.wav,wav,
Noise_26,0.6,./Noise\Noise_26.wav,wav,
Noise_27,0.5,./Noise\Noise_27.wav,wav,
Noise_28,0.4,./Noise\Noise_28.wav,wav,
Noise_29,0.6,./Noise\Noise_29.wav,wav,
Noise_30,0.5,./Noise\Noise_30.wav,wav,
Noise_31,0.6,./Noise\Noise_31.wav,wav,
Noise_32,0.4,./Noise\Noise_32.wav,wav,
Noise_33,0.5,./Noise\Noise_33.wav,wav,
Noise_1,0.6,./Noise\Noise_1.wav,wav,
Noise_2,0.6,./Noise\Noise_2.wav,wav,
Noise_3,0.5,./Noise\Noise_3.wav,wav,
Noise_4,0.5,./Noise\Noise_4.wav,wav,
Noise_5,0.5,./Noise\Noise_5.wav,wav,
Noise_6,0.5,./Noise\Noise_6.wav,wav,
Noise_7,0.5,./Noise\Noise_7.wav,wav,
Noise_8,0.6,./Noise\Noise_8.wav,wav,
Noise_9,0.6,./Noise\Noise_9.wav,wav,
Noise_10,0.6,./Noise\Noise_10.wav,wav,
Noise_11,0.7,./Noise\Noise_11.wav,wav,
Noise_12,0.6,./Noise\Noise_12.wav,wav,
Noise_13,0.6,./Noise\Noise_13.wav,wav,
Noise_14,0.5,./Noise\Noise_14.wav,wav,
Noise_15,0.6,./Noise\Noise_15.wav,wav,
Noise_16,0.6,./Noise\Noise_16.wav,wav,
Noise_17,0.6,./Noise\Noise_17.wav,wav,
Noise_18,0.5,./Noise\Noise_18.wav,wav,
Noise_19,1.4,./Noise\Noise_19.wav,wav,
Noise_20,0.9,./Noise\Noise_20.wav,wav,
Noise_21,0.3,./Noise\Noise_21.wav,wav,
Noise_22,0.6,./Noise\Noise_22.wav,wav,
Noise_23,0.3,./Noise\Noise_23.wav,wav,
Noise_24,0.5,./Noise\Noise_24.wav,wav,
Noise_25,0.6,./Noise\Noise_25.wav,wav,
Noise_26,0.6,./Noise\Noise_26.wav,wav,
Noise_27,0.5,./Noise\Noise_27.wav,wav,
Noise_28,0.4,./Noise\Noise_28.wav,wav,
Noise_29,0.6,./Noise\Noise_29.wav,wav,
Noise_30,0.5,./Noise\Noise_30.wav,wav,
Noise_31,0.6,./Noise\Noise_31.wav,wav,
Noise_32,0.4,./Noise\Noise_32.wav,wav,
Noise_33,0.5,./Noise\Noise_33.wav,wav,
Noise_1,0.6,./Noise\Noise_1.wav,wav,
Noise_2,0.6,./Noise\Noise_2.wav,wav,
Noise_3,0.5,./Noise\Noise_3.wav,wav,
Noise_4,0.5,./Noise\Noise_4.wav,wav,
Noise_5,0.5,./Noise\Noise_5.wav,wav,
Noise_6,0.5,./Noise\Noise_6.wav,wav,
Noise_7,0.5,./Noise\Noise_7.wav,wav,
Noise_8,0.6,./Noise\Noise_8.wav,wav,
Noise_9,0.6,./Noise\Noise_9.wav,wav,
Noise_10,0.6,./Noise\Noise_10.wav,wav,
Noise_11,0.7,./Noise\Noise_11.wav,wav,
Noise_12,0.6,./Noise\Noise_12.wav,wav,
Noise_13,0.6,./Noise\Noise_13.wav,wav,
Noise_14,0.5,./Noise\Noise_14.wav,wav,
Noise_15,0.6,./Noise\Noise_15.wav,wav,
Noise_16,0.6,./Noise\Noise_16.wav,wav,
Noise_17,0.6,./Noise\Noise_17.wav,wav,
Noise_18,0.5,./Noise\Noise_18.wav,wav,
Noise_19,1.4,./Noise\Noise_19.wav,wav,
Noise_20,0.9,./Noise\Noise_20.wav,wav,
Noise_21,0.3,./Noise\Noise_21.wav,wav,
Noise_22,0.6,./Noise\Noise_22.wav,wav,
Noise_23,0.3,./Noise\Noise_23.wav,wav,
Noise_24,0.5,./Noise\Noise_24.wav,wav,
Noise_25,0.6,./Noise\Noise_25.wav,wav,
Noise_26,0.6,./Noise\Noise_26.wav,wav,
Noise_27,0.5,./Noise\Noise_27.wav,wav,
Noise_28,0.4,./Noise\Noise_28.wav,wav,
Noise_29,0.6,./Noise\Noise_29.wav,wav,
Noise_30,0.5,./Noise\Noise_30.wav,wav,
Noise_31,0.6,./Noise\Noise_31.wav,wav,
Noise_32,0.4,./Noise\Noise_32.wav,wav,
Noise_33,0.5,./Noise\Noise_33.wav,wav,
